num_ids,pack_ms_mean,pack_ms_std,dist_ms_mean,dist_ms_std,total_ms_mean,total_ms_std,update_ms_mean,update_ms_std,update_ms_per_id,anchor_mem_mb_fp32,anchor_mem_mb_fp16
62,2.465273,0.084702,5.022871,0.136871,7.488144,0.181925,0.259049,0.015899,0.021587,0.363518,0.181759
150,2.471139,0.090563,5.043368,0.137772,7.514507,0.189754,0.728853,0.265975,0.024295,0.879478,0.439739
1000,7.895346,1.154789,5.117121,1.016949,13.012467,1.370817,4.314331,0.922139,0.021572,5.863190,2.931595
2000,12.675915,1.071681,5.006625,0.280058,17.682540,1.202099,8.137066,0.086817,0.020343,11.726379,5.863190
5000,34.995733,15.665489,5.281941,0.222115,40.277674,15.684108,20.831666,0.701986,0.020832,29.315948,14.657974
10000,94.084142,4.682837,5.550344,0.133572,99.634487,4.683973,43.537875,8.078335,0.021769,58.631897,29.315948
