num_ids,pack_ms_mean,pack_ms_std,dist_ms_mean,dist_ms_std,total_ms_mean,total_ms_std,update_ms_mean,update_ms_std,update_ms_per_id,anchor_mem_mb_fp32,anchor_mem_mb_fp16
62,2.444138,0.095897,5.022993,0.123013,7.467131,0.181545,0.256475,0.009196,0.021373,0.363518,0.181759
150,2.476773,0.077452,4.978776,0.362523,7.455549,0.394585,0.621938,0.016009,0.020731,0.879478,0.439739
300,3.232423,1.401353,5.024290,0.170906,8.256713,1.471312,1.238968,0.020269,0.020649,1.758957,0.879478
600,4.866040,1.052895,5.063810,0.166401,9.929850,1.060158,2.466852,0.054094,0.020557,3.517914,1.758957
1000,6.539759,0.550432,5.078527,0.145858,11.618286,0.632371,4.090081,0.137645,0.020450,5.863190,2.931595
2000,13.144150,1.086341,5.141004,0.150718,18.285154,1.157920,8.265920,0.218957,0.020665,11.726379,5.863190
